Project Number:, Date of Completion or Last PM Check , Next Steps ,Monthly Status,PM
Fleetwood Villa - 2021- Access Control,New Project,Completion Check to be sent in November,,Josh Guy
Bridlewood - 2021 - Walkin Cooler (Wall Panels),New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
The Bentley Swift Current - 2021 - HVAC,New Project,Completion Check to be sent in November,,Malcolm Holbrow
2021-Swift Current - Recirc lines,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Briarfield Gardens - 2021 - Generator,New Project,Completion Check to be sent in November,,Clint Stephenson
Holyrood Manor - 2021 - Rooftop MUA,New Project,Completion Check to be sent in November,,Josh Guy
Kildonan - 2021 - Walkways,New Project,Completion Check to be sent in November,,Malcolm Holbrow
McKenzie Towne LTC - 2021 - BFP replacement,New Project,Completion Check to be sent in November,,Trevor Shoemaker
Bow Crest - 2021 - DHW Manifold,New Project,Completion Check to be sent in November,,Trevor Shoemaker
McKenzie Towne Continuing Care - 2021 - Mag.Lock Security Upgrades,New Project,Completion Check to be sent in November,,Trevor Shoemaker
McGarrell Place-2021-Servery Plumbing Leak,New Project,Completion Check to be sent in November,,Tim Morrison
Mount Royal - 2021 - Plumbing,New Project,Completion Check to be sent in November,,Trevor Shoemaker
2021-Sherwood - Annual Fire Deficiencies,New Project,Completion Check to be sent in November,,Franco D'Angelo
"South Terrace - 2021 - Pipe Repair, Laundry Storage",New Project,Completion Check to be sent in November,,Trevor Shoemaker
Fenelon Court - 2021 - Boiler Replacement,New Project,Completion Check to be sent in November,,Andrew Bautista
South Terrace - 2021 - Walk in Freezer,New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
Longfields - 2021 - Terrace Replacement,New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
Charleswood Care Centre - 2021 - Windows,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Burloak - 2021 - Exterior Balcony Replacement,New Project,Completion Check to be sent in November,,Tim Morrison
West Oak Village-2021-Head-End Controller,New Project,Completion Check to be sent in November,,Tim Morrison
Columbia Forest-2021-AHU #1 AC,New Project,Completion Check to be sent in November,,Tim Morrison
West Oak Village-2021-Mixing Valve,New Project,Completion Check to be sent in November,,Tim Morrison
Beacon Hill - 2021 - Fire System,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Burloak - 2021 - Piping replacement,New Project,Completion Check to be sent in November,,Tim Morrison
Charleswood Care Centre - 2021 - Corridor Flooring,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Northridge-2021-Exterior Structural Repairs,New Project,Completion Check to be sent in November,,Tim Morrison
The Meadows-2021-Courtyard Fence,New Project,Completion Check to be sent in November,,Tim Morrison
Riverview - 2021 - BAS upgrades+,New Project,Completion Check to be sent in November,,Trevor Shoemaker
Bay Ridges_2021_Toaster,New Project,Completion Check to be sent in November,,Nick Calina
2021 - LTC JV - HealthConnex Enhancements Capital,New Project,Completion Check to be sent in Nov-21,Completion Check Ready to be Sent,Adam Butler
Bow Crest - 2021 - Blixer,New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
Charleswood Care Centre - 2021 - Beds,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Charleswood - 2021 - Blixer,New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
Valleyview - 2021 - Blixer,New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
Burloak-2021-Exterior Furniture,New Project,Completion Check to be sent in November,,Tim Morrison
Valleyview - 2021 - Beds,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Burloak-2021-Commercial Dryer,New Project,Completion Check to be sent in November,,Tim Morrison
Kildonan - 2021 - Flooring,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Ridgeview-2021-Laundry Labeler,New Project,Completion Check to be sent in November,,Tim Morrison
Westside Place - 2021 - Double Door Fridge,New Project,Completion Check to be sent in November,Added to Culinary Check - LTC,Ian Thomson
Iler Lodge_2021_Hot Table,New Project,Completion Check to be sent in November,Added to Culinary Check - RET,Shannon Shaw
Eagle Terrace - 2021 - Preparation of BCA,New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
The Churchill - 2021 - Water Heater (22nd Floor),New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
Carlingview Manor - Q2/Q4 - IPAC Capital Fund,New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
Montfort - 2021 - RTU Compressor,New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
